kanji,onyomi,kunyomi,cách nhớ,hán ngữ,ví dụ 1,ví dụ 2,Ảnh 1,Ảnh 2
悪,わるー,アク、オ,trái tim 心 của người châu Á 亜 rất độc Ác 悪,Ác,悪い(わるい)/Ác/Xấu,悪意(あくい)/ác ý/hiểm ác,1.jpeg,
安,やすー,アン,dưới mái 宀 nhà có người phụ nữa 女 thì bình yên 安,"An, Yên",_,_,2.jpg,
以,もっ.て,イ,Tình Yêu bị lộn ngược thì đã rơi vào Dĩ vãng,Dĩ,_,_,3.jpeg,
意,い,＿,Âm thanh phát ra từ con tim,Ý,_,_,4.jpg,
医,いー、くすし,イ,hộp thuốc 匚 (phương) có kim châm 矢 (thỉ) của thầy thuốc (Y),Y,医家(いか)/y gia/bác sĩ ,医学(いがく)/y học/y học,,
員,いん,＿,nhân Viên 員 là bảo Bối 貝 biết nói 口 của công ty,"Viên, Vân",会員(かいいん)/hội viên/thành viên,全員(ぜんいん)/toàn viên/đông đủ,,
飲,のー,イン、オン,Thiếu 欠 Ăn 食 là phải Uống 飲,Ẩm,_,_,,
院,いん,＿,dưới mái 宀 nhà giúp phục hồi Nguyên 元 khí là bệnh Viện 院,Viện,_,_,,
運,はこ.ぶ,ウン,Quân 軍 đội Vận 運 chuyển lương thực bằng Xe đường dài,Vận,_,_,,
映,うつー、はー、ばー,エイ,Trung tâm 央 mặt trời 日 là Ánh sáng 映,Ánh,_,_,,
英,はなぶさ,エイ,cỏ trồng ở trung Ương 央 có nguồn gốc từ nước Anh 英,Anh,_,_,,
駅,えき,＿,con ngựa 馬 bị Xích 尺 trước cửa nhà ga 駅,Dịch,_,_,,
